Date,Rf,Rm-Rf,SMB,HML
200401,0.07,2.15,2.67,1.55
200402,0.06,1.4,-1.17,0.45
200403,0.09,-1.32,1.84,0.07
200404,0.08,-1.83,-2.59,-1.67
200405,0.06,1.17,-0.1,-0.33
200406,0.08,1.86,2.32,1.67
200407,0.1,-4.07,-3.8,4.52
200408,0.11,0.08,-1.59,1.13
200409,0.11,1.6,2.93,0.39
200410,0.11,1.43,0.44,-0.83
200411,0.15,4.54,4.16,1.94
200412,0.16,3.42,0.18,-0.36
200501,0.16,-2.76,-1.63,2.67
200502,0.16,1.89,-0.66,2.85
200503,0.21,-1.97,-1.39,1.75
200504,0.21,-2.61,-4,-0.46
200505,0.24,3.65,2.99,-1.24
200506,0.23,0.57,2.59,2.82
200507,0.24,3.92,2.78,-0.48
200508,0.3,-1.22,-0.89,1.45
200509,0.29,0.49,-0.68,1.13
200510,0.27,-2.02,-1.03,-0.69
200511,0.31,3.61,0.99,-1.79
200512,0.32,-0.25,-0.52,0.49
200601,0.35,3.04,5.32,1.19
200602,0.34,-0.3,-0.32,-0.82
200603,0.37,1.46,3.55,-0.1
200604,0.36,0.73,-1.24,3.07
200605,0.43,-3.57,-3.06,2.81
200606,0.4,-0.35,-0.54,1.59
200607,0.4,-0.78,-4,3.27
200608,0.42,2.03,0.83,-1.76
200609,0.41,1.84,-1.24,-0.43
200610,0.41,3.23,1.63,0.48
200611,0.42,1.71,0.78,0.48
200612,0.4,0.87,-0.89,2.52
200701,0.44,1.4,0.09,-0.02
200702,0.38,-1.96,1.37,0.24
200703,0.43,0.68,-0.26,0.39
200704,0.44,3.49,-2.1,-0.97
200705,0.41,3.24,-0.02,-0.14
200706,0.4,-1.96,0.76,-1.07
200707,0.4,-3.73,-2.68,-2.99
200708,0.42,0.92,-0.15,-2.38
200709,0.32,3.22,-2.46,-2.14
200710,0.32,1.8,0.19,-1.95
200711,0.34,-4.83,-2.8,-1.09
200712,0.27,-0.87,0.02,0
200801,0.21,-6.35,-0.75,3.07
200802,0.13,-3.09,-0.57,-0.03
200803,0.17,-0.94,0.81,0.28
200804,0.18,4.6,-1.49,-0.08
200805,0.18,1.86,3.03,-0.38
200806,0.17,-8.44,1.09,-1.06
200807,0.15,-0.77,3.59,3.69
200808,0.13,1.53,3.73,1.48
200809,0.15,-9.24,-0.37,4.4
200810,0.08,-17.23,-2.27,-2.99
200811,0.03,-7.86,-3.64,-4.93
200812,0,1.75,3.99,-1.2
200901,0,-8.12,-0.98,-9.86
200902,0.01,-10.1,-0.36,-6.91
200903,0.02,8.95,0.75,2.6
200904,0.01,10.19,5.35,5.42
200905,0,5.21,-2.66,0.56
200906,0.01,0.43,2.66,-2.44
200907,0.01,7.72,2.5,4.79
200908,0.01,3.32,-0.52,7.57
200909,0.01,4.08,2.48,1.39
200910,0,-2.59,-4.22,-4.37
200911,0,5.56,-2.67,0.17
200912,0.01,2.75,5.78,0.73
201001,0,-3.36,0.21,0.6
201002,0,3.4,1.43,2.73
201003,0.01,6.32,1.58,2.05
201004,0.01,2,4.93,3.19
201005,0.01,-7.89,-0.08,-2.35
201006,0.01,-5.56,-2.12,-4.28
201007,0.01,6.92,0.27,0.09
201008,0.01,-4.77,-3.02,-1.4
201009,0.01,9.54,3.86,-2.85
201010,0.01,3.88,1.05,-2.22
201011,0.01,0.6,3.67,-0.59
201012,0.01,6.82,0.78,3.36
201101,0.01,2.01,-2.44,0.7
201102,0.01,3.49,1.56,1.72
201103,0.01,0.47,2.7,-1.16
201104,0,2.9,-0.36,-2.17
201105,0,-1.27,-0.64,-2.07
201106,0,-1.75,-0.12,-0.23
201107,0,-2.34,-1.43,-1.14
201108,0.01,-6,-3.3,-1.57
201109,0,-7.6,-3.72,-0.99
201110,0,11.34,3.59,-0.92
201111,0,-0.26,-0.26,-0.16
201112,0,0.74,-0.57,1.54
201201,0,5.06,2.53,-2.16
201202,0,4.43,-1.64,0.04
201203,0,3.11,-0.24,-0.06
201204,0,-0.84,-0.62,-0.17
201205,0.01,-6.2,-0.12,0.11
201206,0,3.88,0.82,0.48
201207,0,0.79,-2.6,0.02
201208,0.01,2.56,0.71,0.55
201209,0.01,2.74,0.49,1.57
201210,0.01,-1.75,-1.07,4.14
201211,0.01,0.77,0.67,-1.1
201212,0.01,1.18,1.62,3.25
201301,0,5.58,0.47,1.31
201302,0,1.28,-0.39,0.29
201303,0,4.03,0.83,-0.06
201304,0,1.56,-2.4,0.41
201305,0,2.81,1.95,1.32
201306,0,-1.21,1.23,-0.44
201307,0,5.66,1.87,0.74
201308,0,-2.69,0.29,-2.46
201309,0,3.76,2.85,-1.59
201310,0,4.17,-1.56,1.31
201311,0,3.12,1.34,-0.33
201312,0,2.81,-0.43,-0.15
